round,date,team_tag,player_name,class,result,point,opponent_team_tag,opponent_name,opponent_class
2026.07.11(SAT) 13:00~,2026-07-31,CR,Atom,ビショップ,WIN,1,ZETA,ねぎま,エルフ
2026.07.11(SAT) 13:00~,2026-07-31,CR,Winter,エルフ,LOSE,0,ZETA,ヘイム,ビショップ
2026.07.11(SAT) 13:00~,2026-07-31,CR,ふえた,ロイヤル,WIN,1,ZETA,CQCQ,ウィッチ
2026.07.11(SAT) 13:00~,2026-07-31,DFM,かなで,ロイヤル,LOSE,0,VRL,まっつ,ネメシス
2026.07.11(SAT) 13:00~,2026-07-31,DFM,ミル,ネメシス,WIN,1,VRL,Mishadow51,ドラゴン
2026.07.11(SAT) 13:00~,2026-07-31,DFM,ユーリ,エルフ,WIN,1,VRL,Terarina,ナイトメア
2026.07.11(SAT) 13:00~,2026-07-31,VRL,Mishadow51,ドラゴン,LOSE,0,DFM,ミル,ネメシス
2026.07.11(SAT) 13:00~,2026-07-31,VRL,Terarina,ナイトメア,LOSE,0,DFM,ユーリ,エルフ
2026.07.11(SAT) 13:00~,2026-07-31,VRL,まっつ,ネメシス,WIN,1,DFM,かなで,ロイヤル
2026.07.11(SAT) 13:00~,2026-07-31,ZETA,CQCQ,ウィッチ,LOSE,0,CR,ふえた,ロイヤル
2026.07.11(SAT) 13:00~,2026-07-31,ZETA,ねぎま,エルフ,LOSE,0,CR,Atom,ビショップ
2026.07.11(SAT) 13:00~,2026-07-31,ZETA,ヘイム,ビショップ,WIN,1,CR,Winter,エルフ
2026.07.12(SUN),2026-07-31,LVH,Era53,ロイヤル,WIN,1,RDL,折り紙,エルフ
2026.07.12(SUN),2026-07-31,LVH,rikka,ウィッチ,WIN,1,RDL,山田レクイエム,ウィッチ
2026.07.12(SUN),2026-07-31,LVH,だーよね,ナイトメア,WIN,1,RDL,ぱんさく,ビショップ
2026.07.12(SUN),2026-07-31,MRG,Spicies,ロイヤル,WIN,1,RC,たばた,ロイヤル
2026.07.12(SUN),2026-07-31,MRG,Toby,ビショップ,LOSE,0,RC,拓海,ビショップ
2026.07.12(SUN),2026-07-31,MRG,マイト,ネメシス,LOSE,0,RC,ぱらちゃん,ウィッチ
2026.07.12(SUN),2026-07-31,RC,たばた,ロイヤル,LOSE,0,MRG,Spicies,ロイヤル
2026.07.12(SUN),2026-07-31,RC,ぱらちゃん,ウィッチ,WIN,1,MRG,マイト,ネメシス
2026.07.12(SUN),2026-07-31,RC,拓海,ビショップ,WIN,1,MRG,Toby,ビショップ
2026.07.12(SUN),2026-07-31,RDL,ぱんさく,ビショップ,LOSE,0,LVH,だーよね,ナイトメア
2026.07.12(SUN),2026-07-31,RDL,山田レクイエム,ウィッチ,LOSE,0,LVH,rikka,ウィッチ
2026.07.12(SUN),2026-07-31,RDL,折り紙,エルフ,LOSE,0,LVH,Era53,ロイヤル
2026.07.15(WED) 18:30~,2026-07-31,CR,Atom,ウィッチ,WIN,1,VRL,Terarina,ウィッチ
2026.07.15(WED) 18:30~,2026-07-31,CR,ふえた,ネメシス,WIN,1,VRL,Mishadow51,ドラゴン
2026.07.15(WED) 18:30~,2026-07-31,CR,空白,ドラゴン,WIN,1,VRL,monakawan,ネメシス
2026.07.15(WED) 18:30~,2026-07-31,LVH,Era53,ドラゴン,LOSE,0,ZETA,ヘイム,ロイヤル
2026.07.15(WED) 18:30~,2026-07-31,LVH,rikka,ウィッチ,WIN,1,ZETA,CQCQ,エルフ
2026.07.15(WED) 18:30~,2026-07-31,LVH,だーよね,ネメシス,WIN,1,ZETA,ねぎま,ドラゴン
2026.07.15(WED) 18:30~,2026-07-31,VRL,Mishadow51,ドラゴン,LOSE,0,CR,ふえた,ネメシス
2026.07.15(WED) 18:30~,2026-07-31,VRL,Terarina,ウィッチ,LOSE,0,CR,Atom,ウィッチ
2026.07.15(WED) 18:30~,2026-07-31,VRL,monakawan,ネメシス,LOSE,0,CR,空白,ドラゴン
2026.07.15(WED) 18:30~,2026-07-31,ZETA,CQCQ,エルフ,LOSE,0,LVH,rikka,ウィッチ
2026.07.15(WED) 18:30~,2026-07-31,ZETA,ねぎま,ドラゴン,LOSE,0,LVH,だーよね,ネメシス
2026.07.15(WED) 18:30~,2026-07-31,ZETA,ヘイム,ロイヤル,WIN,1,LVH,Era53,ドラゴン
2026.07.22(WED) 17:30~,2026-07-31,DFM,かなで,ウィッチ,LOSE,0,RC,たばた,ドラゴン
